org_user_id new_user_id
U_6708089 0
U_9926356 1
U_11044270 2
U_2537394 3
U_104913 4
U_7520659 5
U_799858 6
U_10675086 7
U_7109094 8
U_9004121 9
U_7133621 10
U_5775548 11
U_75916 12
U_2768112 13
U_8138678 14
U_6382469 15
U_3984772 16
U_8105202 17
U_278160 18
U_8718773 19
U_8205067 20
U_2630070 21
U_9201134 22
U_2461871 23
U_7972030 24
U_6143478 25
U_10512045 26
U_912508 27
U_168875 28
U_2404254 29
U_6640302 30
U_1044767 31
U_379171 32
U_8403650 33
U_2534853 34
U_9483489 35
U_10300222 36
U_8602011 37
U_439826 38
U_1433227 39
U_7070002 40
U_10772965 41
U_2529256 42
U_9825008 43
U_8425136 44
U_8264081 45
U_2598695 46
U_7081468 47
U_8143486 48
U_2464581 49
U_3081490 50
U_6318824 51
U_7473316 52
U_15009 53
U_1019500 54
U_106182 55
U_7974413 56
U_9816684 57
U_9427213 58
U_6806710 59
U_10342689 60
U_9424999 61
U_29506 62
U_6826313 63
U_6923328 64
U_2587392 65
U_8003437 66
U_8806590 67
U_1932600 68
U_7043168 69
U_1460619 70
U_406257 71
U_838870 72
U_7051156 73
U_10670885 74
U_26670 75
U_7156331 76
U_10533763 77
U_88564 78
U_6245767 79
U_2792628 80
U_6469189 81
U_6003167 82
U_566039 83
U_38614 84
U_351223 85
U_6467720 86
U_4283068 87
U_10535405 88
U_7383103 89
U_4787491 90
U_6836742 91
U_1537664 92
U_8435188 93
U_6230904 94
U_7975213 95
U_6804761 96
U_2499146 97
U_3515610 98
U_285140 99
U_6242750 100
U_9477264 101
U_352098 102
U_270048 103
U_6416498 104
U_6849732 105
U_6328089 106
U_2433168 107
U_8263092 108
U_7919963 109
U_9414812 110
U_8540487 111
U_8094578 112
U_4586881 113
U_90135 114
U_6514765 115
U_10574907 116
U_3793687 117
U_2519461 118
U_352449 119
U_40186 120
U_10475310 121
U_553207 122
U_10556631 123
U_10516095 124
U_330807 125
U_2566709 126
U_9596859 127
U_4566672 128
U_7435807 129
U_148032 130
U_9901123 131
U_2909417 132
U_4567633 133
U_11933185 134
U_10771255 135
U_472349 136
U_466028 137
U_545828 138
U_1066551 139
U_4699971 140
U_7421317 141
U_9786446 142
U_8136133 143
U_10627249 144
U_5076794 145
U_384134 146
U_7433264 147
U_2483369 148
U_7447543 149
U_486354 150
U_4465258 151
U_5948892 152
U_4477552 153
U_6345596 154
U_9266699 155
U_2274711 156
U_7003935 157
U_6372257 158
U_6709405 159
U_2503774 160
U_10597587 161
U_7126547 162
U_1186361 163
U_1512468 164
U_6692276 165
U_9855056 166
U_7180651 167
U_11782491 168
U_6540172 169
U_1543211 170
U_5370253 171
U_7821 172
U_351864 173
U_6373718 174
U_2249956 175
U_284356 176
U_8168592 177
U_8747577 178
U_1078824 179
U_3114868 180
U_9377552 181
U_1010594 182
U_7837016 183
U_9276216 184
U_6425946 185
U_1087362 186
U_597303 187
U_4418347 188
U_7883599 189
U_9505854 190
U_23658 191
U_2480899 192
U_4567634 193
U_8872543 194
U_112609 195
U_7095100 196
U_7363700 197
U_6680871 198
U_721929 199
U_4374602 200
U_4579088 201
U_6265413 202
U_5406662 203
U_8486657 204
U_57164 205
U_8409980 206
U_290854 207
U_10260240 208
U_8170394 209
U_6717298 210
U_7196113 211
U_8198426 212
U_496584 213
U_8431408 214
U_10546224 215
U_2320878 216
U_480968 217
U_100520 218
U_6402066 219
U_7040686 220
U_4690163 221
U_7076111 222
U_3794332 223
U_10793320 224
U_145489 225
U_5323560 226
U_10127135 227
U_7819870 228
U_418579 229
U_7843162 230
U_9039826 231
U_1068053 232
U_4428587 233
U_3066374 234
U_8836040 235
U_6903305 236
U_9947001 237
U_540068 238
U_11123 239
U_6852941 240
U_10932323 241
U_8492826 242
U_10649189 243
U_89400 244
U_1047500 245
U_286063 246
U_6682351 247
U_8106749 248
U_2754143 249
U_6713185 250
U_180233 251
U_8129380 252
U_7421489 253
U_8078307 254
U_10564918 255
U_7977336 256
U_7663212 257
U_8125962 258
U_9447601 259
U_6077155 260
U_2475779 261
U_2742787 262
U_7694842 263
U_7095864 264
U_258000 265
U_10063669 266
U_672805 267
U_96992 268
U_7067157 269
U_2522146 270
U_8459596 271
U_5511723 272
U_9240156 273
U_7723734 274
U_8910474 275
U_9342306 276
U_3053029 277
U_44810 278
U_330867 279
U_9618911 280
U_6624942 281
U_1806307 282
U_1112 283
U_10388135 284
U_10034098 285
U_297421 286
U_8520713 287
U_6061640 288
U_8570062 289
U_6672507 290
U_8582070 291
U_6886237 292
U_7844036 293
U_3182389 294
U_171390 295
U_6348775 296
U_6943655 297
U_6719074 298
U_7770865 299
U_252158 300
U_9680539 301
U_9244 302
U_8137609 303
U_6461246 304
U_6334049 305
U_10506261 306
U_2991697 307
U_6279233 308
U_8875589 309
U_7199341 310
U_1912507 311
U_449396 312
U_8444340 313
U_9005333 314
U_243371 315
U_8364664 316
U_9351154 317
U_8039900 318
U_4441665 319
U_2644158 320
U_9565135 321
U_2242607 322
U_243740 323
U_6429448 324
U_88387 325
U_2956682 326
U_6519017 327
U_78719 328
U_6684264 329
U_4441881 330
U_8836811 331
U_9639611 332
U_10462276 333
U_9486136 334
U_8451239 335
U_8070595 336
U_10801956 337
U_7997629 338
U_32559 339
U_165277 340
U_1020493 341
U_10505746 342
U_9981835 343
U_8508780 344
U_7320272 345
U_4443849 346
U_1087656 347
U_7810548 348
U_9215907 349
U_8386125 350
U_9323289 351
U_593277 352
U_8425126 353
U_6712069 354
U_8871280 355
U_279622 356
U_8429461 357
U_2511702 358
U_7077645 359
U_7170848 360
U_1011082 361
U_4441661 362
U_7015353 363
U_558641 364
U_6063593 365
U_6590651 366
U_7131151 367
U_6070483 368
U_1003076 369
U_8243184 370
U_7665329 371
U_9384947 372
U_5340805 373
U_6679009 374
U_8074764 375
U_10035631 376
U_711453 377
U_6778607 378
U_961516 379
U_520427 380
U_6900341 381
U_8416136 382
U_10520455 383
U_9009178 384
U_6629066 385
U_1476697 386
U_2928533 387
U_4333416 388
U_332914 389
U_2999373 390
U_9276757 391
U_122624 392
U_2146785 393
U_7964745 394
U_216869 395
U_345155 396
U_7524023 397
U_8382918 398
U_2781091 399
U_6805730 400
U_6598100 401
U_8353367 402
U_2978478 403
U_8246529 404
U_8527068 405
U_8169291 406
U_7544150 407
U_574198 408
U_7399842 409
U_8042483 410
U_2950418 411
U_645342 412
U_6594690 413
U_8693319 414
U_7980679 415
U_7430645 416
U_6988931 417
U_11041503 418
U_1370362 419
U_444442 420
U_7179461 421
U_9886272 422
U_139486 423
U_9254097 424
U_8205442 425
U_7963104 426
U_475607 427
U_8080312 428
U_8164450 429
U_710580 430
U_571745 431
U_902456 432
U_2930344 433
U_6267327 434
U_3083119 435
U_7048952 436
U_7063591 437
U_6341172 438
U_506786 439
U_7273364 440
U_7990217 441
U_10451110 442
U_21304 443
U_9234258 444
U_10023426 445
U_4441125 446
U_10210317 447
U_5243071 448
U_10402212 449
U_8727461 450
U_2664044 451
U_8168640 452
U_6549320 453
U_9239836 454
U_4657984 455
U_7277439 456
U_3201657 457
U_9003347 458
U_4349167 459
U_3202865 460
U_237893 461
U_139630 462
U_7805758 463
U_1016705 464
U_1086321 465
U_1048924 466
U_7174684 467
U_10194295 468
U_6316020 469
U_705444 470
U_1523675 471
U_4475838 472
U_9254289 473
U_10410798 474
U_2541338 475
U_9224424 476
U_9557902 477
U_7546500 478
U_996859 479
U_9730306 480
U_6421239 481
U_3134741 482
U_8020253 483
U_636784 484
U_2793992 485
U_6456059 486
U_6820087 487
U_9425424 488
U_6124973 489
U_7568121 490
U_6727411 491
U_9677271 492
U_7697515 493
U_8421773 494
U_8032554 495
U_2002436 496
U_1525145 497
U_9619059 498
U_7154243 499
U_2300799 500
U_7835985 501
U_3086244 502
U_7084442 503
U_7116200 504
U_10257029 505
U_6640938 506
U_631947 507
U_8053693 508
U_6872638 509
U_8148438 510
